Event,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4
2013-11-14,@github,,,
2013-12-16,@crushlovely,,,
2014-01-22,@nodejitsu,@digitalocean,@harvest,
2014-02-20,@etsy,@hugeinc,@bocoup,
2014-03-20,@digitalocean,@tumblreng,@sfxii,
2014-04-17,@spotify,@twilio,@chartbeat,
2014-05-15,@hugeinc,@PolicyMic,@YuzuBN,
2014-06-19,@digitalocean,@fivethirtyeight,,
2014-07-17,@nytdevs,@bloomberg,@EmpireJS,
2014-08-21,@digitalocean,@bocoup,@10up,
2014-09-18,@digitalocean,@jibe,,
2014-10-16,@twilio,@NewYorker,,
2014-11-20,@digitalocean,@twilio,@barkbox,
2014-12-18,@digitalocean,@twilio,@sefaira,
2015-01-15,@dropbox,@pivotal,@genius,
2015-02-19,@digitalocean,@empirejs,scripto,
2015-03-19,@digitalocean,@genius,@bocoup,
2015-04-16,@digitalocean,@TheHackerati,@autodesk,
2015-05-21,@digitalocean,@Spotify,@OscarHealth,
2015-06-18,@digitalocean,@NamelyHR,@bocoup,
2015-07-16,@digitalocean,@classpass,@NewYorker,
2015-08-20,@digitalocean,@oscarhealth,@transloadit,
2015-08-20,@digitalocean,@oscarhealth,@transloadit,
2015-09-17,@digitalocean,@asana,@blockchain,
2015-10-15,@digitalocean,@mozilla,@adfin,
2015-11-19,@digitalocean,@nymag,@twilio,@ride
2015-12-19,@digitalocean,@_relayfm,@StrideDev,
2015-01-19,@digitalocean,@SparkPost,@GoDaddy,
2015-02-19,@recursecenter,@datadoghq,@NerdyDataLtd,
2015-02-19,Rockets of Awesome,@GoDaddy,@1stdibs,
